"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0000465","neutral intrinsic curvature",47,0,2.25,"1.00000","1.00000"
"LION:0000466","positive intrinsic curvature",30,0,1.43,"1.00000","1.00000"
"LION:0000563","steryl esters [ST0102]",25,0,1.19,"1.00000","1.00000"
"LION:0000599","lysoglycerophospholipids",16,0,0.76,"1.00000","1.00000"
"LION:0000607","diacylglycerols [GL0201]",6,0,0.29,"1.00000","1.00000"
"LION:0001735","very low transition temperature",7,0,0.33,"1.00000","1.00000"
"LION:0001736","low transition temperature",20,0,0.96,"1.00000","1.00000"
"LION:0001737","average transition temperature",22,0,1.05,"1.00000","1.00000"
"LION:0001738","high transition temperature",10,0,0.48,"1.00000","1.00000"
"LION:0001739","very high transition temperature",6,0,0.29,"1.00000","1.00000"
"LION:0001740","above average transition temperature",16,0,0.76,"1.00000","1.00000"
"LION:0001741","below average transition temperature",27,0,1.29,"1.00000","1.00000"
"LION:0001742","fatty acids and conjugates [FA01]",26,0,1.24,"1.00000","1.00000"
"LION:0002882","C16:0",27,0,1.29,"1.00000","1.00000"
"LION:0002900","C16:1",9,0,0.43,"1.00000","1.00000"
"LION:0002921","C18:0",21,0,1,"1.00000","1.00000"
"LION:0002922","C18:1",25,0,1.19,"1.00000","1.00000"
"LION:0002923","C18:2",24,0,1.15,"1.00000","1.00000"
"LION:0002924","C18:3",5,0,0.24,"1.00000","1.00000"
"LION:0002925","C20:0",13,0,0.62,"1.00000","1.00000"
"LION:0002926","C20:1",6,0,0.29,"1.00000","1.00000"
"LION:0002927","C20:2",5,0,0.24,"1.00000","1.00000"
"LION:0002928","C20:3",9,0,0.43,"1.00000","1.00000"
"LION:0002929","C20:4",15,0,0.72,"1.00000","1.00000"
"LION:0002930","C20:5",6,0,0.29,"1.00000","1.00000"
"LION:0002931","C22:0",6,0,0.29,"1.00000","1.00000"
"LION:0002932","C22:1",4,0,0.19,"1.00000","1.00000"
"LION:0002936","C22:5",4,0,0.19,"1.00000","1.00000"
"LION:0002937","C22:6",6,0,0.29,"1.00000","1.00000"
"LION:0002938","C24:0",5,0,0.24,"1.00000","1.00000"
"LION:0002939","C24:1",5,0,0.24,"1.00000","1.00000"
"LION:0002945","fatty acid with more than 18 carbons",88,0,4.21,"1.00000","1.00000"
"LION:0002947","fatty acid with 13-15 carbons",13,0,0.62,"1.00000","1.00000"
"LION:0002948","fatty acid with 16-18 carbons",95,0,4.54,"1.00000","1.00000"
"LION:0002950","fatty acid with 22-24 carbons",34,0,1.62,"1.00000","1.00000"
"LION:0002953","fatty acid with 14 carbons",8,0,0.38,"1.00000","1.00000"
"LION:0002955","fatty acid with 16 carbons",35,0,1.67,"1.00000","1.00000"
"LION:0002957","fatty acid with 18 carbons",66,0,3.15,"1.00000","1.00000"
"LION:0002959","fatty acid with 20 carbons",52,0,2.48,"1.00000","1.00000"
"LION:0002961","fatty acid with 22 carbons",24,0,1.15,"1.00000","1.00000"
"LION:0002963","fatty acid with 24 carbons",10,0,0.48,"1.00000","1.00000"
"LION:0002966","fatty acid with less than 2 double bonds",129,0,6.16,"1.00000","1.00000"
"LION:0002967","polyunsaturated fatty acid",76,0,3.63,"1.00000","1.00000"
"LION:0002968","saturated fatty acid",89,0,4.25,"1.00000","1.00000"
"LION:0002969","monounsaturated fatty acid",51,0,2.44,"1.00000","1.00000"
"LION:0002970","fatty acid with 2 double bonds",31,0,1.48,"1.00000","1.00000"
"LION:0002971","fatty acid with 3 double bonds",14,0,0.67,"1.00000","1.00000"
"LION:0002972","fatty acid with 4 double bonds",17,0,0.81,"1.00000","1.00000"
"LION:0002973","fatty acid with 5 double bonds",10,0,0.48,"1.00000","1.00000"
"LION:0002976","fatty acid with more than 3 double bonds",47,0,2.25,"1.00000","1.00000"
"LION:0002977","fatty acid with 3-5 double bonds",41,0,1.96,"1.00000","1.00000"
"LION:0012009","lipid-mediated signalling",27,0,1.29,"1.00000","1.00000"
"LION:0012010","membrane component",101,0,4.83,"1.00000","1.00000"
"LION:0012080","endoplasmic reticulum (ER)",81,0,3.87,"1.00000","1.00000"
"LION:0012081","mitochondrion",6,0,0.29,"1.00000","1.00000"
"LION:0012082","plasma membrane",16,0,0.76,"1.00000","1.00000"
"LION:0012086","endosome/lysosome",37,0,1.77,"1.00000","1.00000"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",4,0,0.19,"1.00000","1.00000"
"LION:0022229","C15:0",5,0,0.24,"1.00000","1.00000"
"LION:0022231","C17:0",9,0,0.43,"1.00000","1.00000"
"LION:0080947","d18:1 (sphingosine)",22,0,1.05,"1.00000","1.00000"
"LION:0080968","very low bilayer thickness",6,0,0.29,"1.00000","1.00000"
"LION:0080969","low bilayer thickness",18,0,0.86,"1.00000","1.00000"
"LION:0080970","average bilayer thickness",16,0,0.76,"1.00000","1.00000"
"LION:0080971","high bilayer thickness",10,0,0.48,"1.00000","1.00000"
"LION:0080972","very high bilayer thickness",3,0,0.14,"1.00000","1.00000"
"LION:0080973","below average bilayer thickness",24,0,1.15,"1.00000","1.00000"
"LION:0080974","above average bilayer thickness",13,0,0.62,"1.00000","1.00000"
"LION:0080976","very low lateral diffusion",3,0,0.14,"1.00000","1.00000"
"LION:0080977","low lateral diffusion",9,0,0.43,"1.00000","1.00000"
"LION:0080978","average lateral diffusion",17,0,0.81,"1.00000","1.00000"
"LION:0080979","high lateral diffusion",20,0,0.96,"1.00000","1.00000"
"LION:0080980","very high lateral diffusion",8,0,0.38,"1.00000","1.00000"
"LION:0080981","below average lateral diffusion",12,0,0.57,"1.00000","1.00000"
"LION:0080982","above average lateral diffusion",27,0,1.29,"1.00000","1.00000"
